campaign_settlement_display_buildings_tables	6
model_id	key	building_bmd	port_bmd	construction_bmd	damaged_bmd	destroyed_bmd	port_construction_bmd	port_walled_bmd	wall_bmd
wh2_main_building_skv_settlement_hellpit_5	1003916721	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\skv_hellpit_05.bmd
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_4	1012209927	prefabs/campaign/tmb_blackpyramid_04.bmd	prefabs/campaign/tmb_major_port_04.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_04.bmd	prefabs/campaign/tmb_blackpyramid_04.bmd
wh2_dlc11_special_galleons_graveyard	1027860412	prefabs/campaign/cst_galleon_graveyard.bmd	prefabs/campaign/cst_galleon_graveyard.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/cst_galleon_graveyard.bmd	prefabs/campaign/cst_galleon_graveyard.bmd
wh2_dlc09_special_settlement_pyramid_of_nagash_brt_5	1034330105	prefabs/campaign/tmb_blackpyramid_05.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs/campaign/tmb_blackpyramid_05.bmd
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_3	1074557006	prefabs/campaign/tmb_blackpyramid_03.bmd	prefabs/campaign/tmb_major_port_03.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_03.bmd	prefabs/campaign/tmb_blackpyramid_03.bmd
wh2_dlc09_special_settlement_pyramid_of_nagash_grn_3	1079045133	prefabs/campaign/tmb_blackpyramid_03.bmd	prefabs/campaign/tmb_major_port_03.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_03.bmd	prefabs/campaign/tmb_blackpyramid_03.bmd
wh2_dlc11_vampirecoast_settlement_major_2	1125295081	prefabs/campaign/vampire_coast_port_major_2.bmd	prefabs/campaign/vampire_coast_port_major_2.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/vampire_coast_port_major_2.bmd	prefabs/campaign/vampire_coast_port_major_2.bmd
wh2_dlc09_special_settlement_pyramid_of_nagash_lzd_1	1147495996	prefabs/campaign/tmb_blackpyramid_01.bmd	prefabs/campaign/tmb_major_port_01.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_01.bmd	prefabs/campaign/tmb_blackpyramid_01.bmd
wh2_dlc09_special_settlement_pyramid_of_nagash_vmp_5	114825217	prefabs/campaign/tmb_blackpyramid_05.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs/campaign/tmb_blackpyramid_05.bmd
wh2_dlc09_tmb_settlement_minor_1	1157625289	prefabs\campaign\tmb_minor_01.bmd	prefabs\campaign\tmb_minor_port_01.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\tmb_minor_port_04.bmd	prefabs\campaign\tmb_minor_04.bmd
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb_5	1159506741	prefabs/campaign/tmb_blackpyramid_05.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/tmb_major_port_05.bmd	prefabs/campaign/tmb_blackpyramid_05.bmd
