cai_personality_empire_rivalry_components_tables	1
expansionism_multiplier_ai	expansionism_multiplier_player	key	short_description	long_description
0.5	0.5	default		
0.5	0.5	default_late_game		
1	1	default_late_game_vhard		
2	2	dislike_great_power		
1	1	dlc03_beastmen_friendly	wh_dlc03_mini_beastmen_friendly_short	wh_dlc03_mini_beastmen_friendly_long
1	1	dlc03_beastmen_hostile	wh_dlc03_mini_beastmen_hostile_short	wh_dlc03_mini_beastmen_hostile_long
1	1	dlc03_beastmen_mission_failed	wh_dlc03_mini_beastmen_mission_failed_short	wh_dlc03_mini_beastmen_mission_failed_long
1	1	dlc03_beastmen_mission_issued	wh_dlc03_mini_beastmen_mission_issued_short	wh_dlc03_mini_beastmen_mission_issued_long
1	1	dlc03_beastmen_mission_succeded	wh_dlc03_mini_beastmen_mission_succeded_short	wh_dlc03_mini_beastmen_mission_succeded_long
-1	-1	dlc09_tomb_kings	dlc09_personality_desc_short_tmb_likes_great_powers	dlc09_personality_desc_long_tmb_likes_great_powers
0.5	1	vhard		
