mp_force_gen_template_junctions_tables	7
template_key	config_key	is_defender	battle_type	composition
default	default	false	land_ambush	default
default	default	false	land_bridge	default
default	default	false	land_normal	default
default	default	false	settlement_standard	default
default	default	false	settlement_unfortified	default
default	default	false	underground_intercept	default
default	default	true	land_ambush	default
default	default	true	land_bridge	default
default	default	true	land_normal	default
default	default	true	settlement_standard	default
default	default	true	settlement_unfortified	default
default	default	true	underground_intercept	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	false	land_ambush	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	false	land_bridge	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	false	land_normal	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_siege_attack	false	settlement_standard	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	false	settlement_unfortified	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	false	underground_intercept	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	true	land_ambush	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	true	land_bridge	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	true	land_normal	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_siege_defence	true	settlement_standard	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	true	settlement_unfortified	default
wh_mp_force_gen_beastmen	WH_mp_Beastmen_land	true	underground_intercept	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	false	land_ambush	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	false	land_bridge	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	false	land_normal	default
wh_mp_force_gen_border_princes	WH_mp_TEB_siege_attack	false	settlement_standard	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	false	settlement_unfortified	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	false	underground_intercept	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	true	land_ambush	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	true	land_bridge	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	true	land_normal	default
wh_mp_force_gen_border_princes	WH_mp_TEB_siege_defence	true	settlement_standard	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	true	settlement_unfortified	default
wh_mp_force_gen_border_princes	WH_mp_TEB_land	true	underground_intercept	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	false	land_ambush	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	false	land_bridge	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	false	land_normal	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_siege_attack	false	settlement_standard	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	false	settlement_unfortified	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	false	underground_intercept	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	true	land_ambush	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	true	land_bridge	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	true	land_normal	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_siege_defence	true	settlement_standard	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	true	settlement_unfortified	default
wh_mp_force_gen_bretonnia	WH_mp_Bretonnia_land	true	underground_intercept	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	false	land_ambush	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	false	land_bridge	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	false	land_normal	default
wh_mp_force_gen_chaos	WH_mp_Chaos_siege_attack	false	settlement_standard	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	false	settlement_unfortified	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	false	underground_intercept	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	true	land_ambush	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	true	land_bridge	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	true	land_normal	default
wh_mp_force_gen_chaos	WH_mp_Chaos_siege_defence	true	settlement_standard	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	true	settlement_unfortified	default
wh_mp_force_gen_chaos	WH_mp_Chaos_land	true	underground_intercept	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	false	land_ambush	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	false	land_bridge	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	false	land_normal	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_siege_attack	false	settlement_standard	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	false	settlement_unfortified	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	false	underground_intercept	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	true	land_ambush	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	true	land_bridge	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	true	land_normal	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_siege_defence	true	settlement_standard	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	true	settlement_unfortified	default
wh_mp_force_gen_dark_elves	WH_mp_Dark_Elves_land	true	underground_intercept	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	false	land_ambush	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	false	land_bridge	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	false	land_normal	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_siege_attack	false	settlement_standard	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	false	settlement_unfortified	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	false	underground_intercept	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	true	land_ambush	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	true	land_bridge	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	true	land_normal	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_siege_defence	true	settlement_standard	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	true	settlement_unfortified	default
wh_mp_force_gen_dwarfs	WH_mp_Dwarfs_land	true	underground_intercept	default
wh_mp_force_gen_empire	WH_mp_Empire_land	false	land_ambush	default
wh_mp_force_gen_empire	WH_mp_Empire_land	false	land_bridge	default
wh_mp_force_gen_empire	WH_mp_Empire_land	false	land_normal	default
wh_mp_force_gen_empire	WH_mp_Empire_siege_attack	false	settlement_standard	default
wh_mp_force_gen_empire	WH_mp_Empire_land	false	settlement_unfortified	default
wh_mp_force_gen_empire	WH_mp_Empire_land	false	underground_intercept	default
wh_mp_force_gen_empire	WH_mp_Empire_land	true	land_ambush	default
wh_mp_force_gen_empire	WH_mp_Empire_land	true	land_bridge	default
wh_mp_force_gen_empire	WH_mp_Empire_land	true	land_normal	default
wh_mp_force_gen_empire	WH_mp_Empire_siege_defence	true	settlement_standard	default
wh_mp_force_gen_empire	WH_mp_Empire_land	true	settlement_unfortified	default
wh_mp_force_gen_empire	WH_mp_Empire_land	true	underground_intercept	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	false	land_ambush	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	false	land_bridge	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	false	land_normal	default
wh_mp_force_gen_estalia	WH_mp_TEB_siege_attack	false	settlement_standard	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	false	settlement_unfortified	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	false	underground_intercept	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	true	land_ambush	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	true	land_bridge	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	true	land_normal	default
wh_mp_force_gen_estalia	WH_mp_TEB_siege_defence	true	settlement_standard	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	true	settlement_unfortified	default
wh_mp_force_gen_estalia	WH_mp_TEB_land	true	underground_intercept	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	false	land_ambush	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	false	land_bridge	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	false	land_normal	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_siege_attack	false	settlement_standard	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	false	settlement_unfortified	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	false	underground_intercept	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	true	land_ambush	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	true	land_bridge	default
wh_mp_force_gen_greenskins	WH_mp_Greenskins_land	true	land_normal	default
