cai_diplomacy_excluded_factions_tables	0
campaign	faction
	wh2_dlc10_def_blood_voyage
	wh2_main_bst_blooded_axe_brayherd
	wh2_main_bst_manblight_brayherd
	wh2_main_bst_ripper_horn_brayherd
	wh2_main_bst_shadowgor_brayherd
	wh2_main_bst_skrinderkin_brayherd
	wh2_main_bst_stone_horn_brayherd
main_warhammer	wh2_main_chs_chaos_incursion_def
wh2_main_great_vortex	wh2_main_chs_chaos_incursion_def
main_warhammer	wh2_main_chs_chaos_incursion_hef
wh2_main_great_vortex	wh2_main_chs_chaos_incursion_hef
main_warhammer	wh2_main_chs_chaos_incursion_lzd
wh2_main_great_vortex	wh2_main_chs_chaos_incursion_lzd
wh2_main_great_vortex	wh2_main_chs_chaos_incursion_skv
	wh2_main_def_dark_elves_intervention
	wh2_main_grn_arachnos_waaagh
	wh2_main_grn_blue_vipers_waaagh
	wh2_main_hef_high_elves_intervention
	wh2_main_lzd_lizardmen_intervention
	wh2_main_nor_hung_incursion_def
	wh2_main_nor_hung_incursion_hef
	wh2_main_nor_hung_incursion_lzd
	wh2_main_nor_hung_incursion_skv
	wh2_main_skv_skaven_intervention
	wh2_main_skv_unknown_clan_def
	wh2_main_skv_unknown_clan_hef
	wh2_main_skv_unknown_clan_lzd
	wh2_main_skv_unknown_clan_skv
	wh_dlc03_bst_beastmen_brayherd
	wh_dlc03_bst_beastmen_chaos_brayherd
	wh_dlc03_bst_beastmen_rebels_brayherd
	wh_dlc03_bst_jagged_horn_brayherd
	wh_dlc03_bst_redhorn_brayherd
	wh_main_grn_black_venom_waaagh
	wh_main_grn_bloody_spearz_waaagh
	wh_main_grn_broken_nose_waaagh
	wh_main_grn_crooked_moon_waaagh
	wh_main_grn_greenskins_rebels_waaagh
	wh_main_grn_greenskins_waaagh
	wh_main_grn_necksnappers_waaagh
	wh_main_grn_orcs_of_the_bloody_hand_waaagh
	wh_main_grn_red_eye_waaagh
	wh_main_grn_red_fangs_waaagh
	wh_main_grn_scabby_eye_waaagh
	wh_main_grn_skull-takerz_waaagh
	wh_main_grn_skullsmasherz_waaagh
	wh_main_grn_teef_snatchaz_waaagh
	wh_main_grn_top_knotz_waaagh
