campaign_group_members_tables	1
group	id	priority
DLC11_diplomacy_Subcult_VampireCoast	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits	0
DLC11_diplomacy_Subcult_VampireCoast_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBeastmen_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBeastmen_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionBretonnia_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionBretonnia_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionChaos_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionChaos_&_Positive	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Negative	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Negative	0
DLC11_diplomacy_Subcult_VampireCoast_&_OtherFactionDarkElves_&_Positive	DLC11_diplomacy_Subcult_VFA_Female_TheTerrorsOfTheDarkStraits_&_OtherFactionDarkElves_&_Positive	0
