agent_subtype_military_force_creation_overrides_tables	0
agent_subtype	military_force_type
wh2_dlc11_cst_admiral_tech_01	CHARACTER_BOUND_HORDE
wh2_dlc11_cst_admiral_tech_02	CHARACTER_BOUND_HORDE
wh2_dlc11_cst_admiral_tech_03	CHARACTER_BOUND_HORDE
wh2_dlc11_cst_admiral_tech_04	CHARACTER_BOUND_HORDE
wh2_dlc11_cst_aranessa	CHARACTER_BOUND_HORDE
wh2_dlc11_cst_cylostra	CHARACTER_BOUND_HORDE
wh2_dlc11_cst_harkon	CHARACTER_BOUND_HORDE
wh2_dlc11_cst_noctilus	CHARACTER_BOUND_HORDE
wh2_main_def_black_ark	SEA_LOCKED_HORDE
